Date,Time,Temperature(℃),Humidity(%),Precipitation (mm),Visibility(m),Wind speed(m/s),"Pavement temperature
(℃)"
2022/12/24,0:42,2.6,84,0,30963,0.2,3.6
2022/12/24,0:43,2.6,84,0,31301,0.1,3.5
2022/12/24,0:44,2.7,84,0,30561,0.1,3.4
2022/12/24,0:45,2.6,84,0,31194,0,3.4
2022/12/24,0:46,2.7,84,0,30625,0,3.4
2022/12/24,0:47,2.7,84,0,30572,0,3.4
2022/12/24,0:48,2.7,84,0,30574,0,3.5
2022/12/24,0:49,2.8,84,0,30232,0.2,3.6
2022/12/24,0:50,2.8,84,0,30563,0.4,3.5
2022/12/24,0:51,2.7,84,0,30432,0.3,3.3
2022/12/24,0:52,2.7,84,0,30901,0.1,3.2
2022/12/24,0:53,2.7,84,0,30366,0.1,3.3
2022/12/24,0:54,2.7,84,0,30127,0.1,3.2
2022/12/24,0:55,2.7,84,0,29586,0.2,3.2
2022/12/24,0:56,2.7,84,0,30847,0.5,3.2
2022/12/24,0:57,2.6,84,0,30199,0.5,3.2
2022/12/24,0:58,2.7,84,0,30127,0.5,3.1
2022/12/24,0:59,2.6,84,0,29881,0.4,3.2
2022/12/24,1:00,2.6,84,0,30115,0.2,3.2
2022/12/24,1:01,2.6,84,0,29914,0.3,3.2
2022/12/24,1:02,2.6,85,0,29939,0.4,3.2
2022/12/24,1:03,2.6,85,0,29509,0.3,3.2
2022/12/24,1:04,2.6,85,0,30371,0.1,3.2
2022/12/24,1:05,2.6,85,0,29991,0.1,3.2
2022/12/24,1:06,2.6,85,0,30138,0.1,3.2
2022/12/24,1:07,2.6,85,0,29657,0,3.2
2022/12/24,1:08,2.6,85,0,29497,0.2,3.2
2022/12/24,1:09,2.6,85,0,29264,0.2,3.3
2022/12/24,1:10,2.6,85,0,29724,0.2,3.4
2022/12/24,1:11,2.6,85,0,28787,0.2,3.5
2022/12/24,1:12,2.6,85,0,29109,0,3.6
2022/12/24,1:13,2.7,85,0,29313,0,3.7
2022/12/24,1:14,2.7,85,0,28294,0,3.7
2022/12/24,1:15,2.7,85,0,28762,0.1,3.6
2022/12/24,1:16,2.7,85,0,28066,0.2,3.5
2022/12/24,1:17,2.8,85,0,28224,0.5,3.2
2022/12/24,1:18,2.7,85,0,27041,0.5,3.2
2022/12/24,1:19,2.7,85,0,27674,0.7,3.1
2022/12/24,1:20,2.6,85,0,27392,0.9,2.8
2022/12/24,1:21,2.6,85,0,27932,0.9,2.5
2022/12/24,1:22,2.5,85,0,28528,0.9,2.5
2022/12/24,1:23,2.5,85,0,29240,1,2.5
2022/12/24,1:24,2.5,86,0,28928,1.1,2.6
2022/12/24,1:25,2.4,86,0,28983,1.1,2.6
2022/12/24,1:26,2.4,86,0,28282,1,2.5
2022/12/24,1:27,2.4,86,0,28133,0.9,2.5
2022/12/24,1:28,2.3,86,0,27889,1,2.5
2022/12/24,1:29,2.3,87,0,27634,1.1,2.5
2022/12/24,1:30,2.3,87,0,28174,0.8,2.6
2022/12/24,1:31,2.3,87,0,27759,0.8,2.7
2022/12/24,1:32,2.3,87,0,28112,0.9,2.9
2022/12/24,1:33,2.3,87,0,26987,0.9,2.9
2022/12/24,1:34,2.3,87,0,26885,0.7,2.8
2022/12/24,1:35,2.3,88,0,27026,0.6,3
2022/12/24,1:36,2.3,88,0,26911,0.6,3
2022/12/24,1:37,2.3,88,0,26938,0.6,2.9
2022/12/24,1:38,2.3,88,0,26596,0.7,2.9
2022/12/24,1:39,2.3,88,0,27207,0.7,3
2022/12/24,1:40,2.3,88,0,26744,0.5,3
2022/12/24,1:41,2.3,88,0,26933,0.4,3
2022/12/24,1:42,2.3,88,0,26933,0.5,3
2022/12/24,1:43,2.3,88,0,27427,0.6,3
2022/12/24,1:44,2.2,88,0,27530,0.5,3
2022/12/24,1:45,2.2,88,0,27512,0.6,3
2022/12/24,1:46,2.2,88,0,29131,0.7,2.9
2022/12/24,1:47,2.2,88,0,27722,0.7,2.9
2022/12/24,1:48,2.2,88,0,28443,0.7,3
2022/12/24,1:49,2.2,87,0,28954,0.4,3
2022/12/24,1:50,2.2,88,0,28486,0.1,3.2
2022/12/24,1:51,2.2,88,0,29084,0.2,3.3
2022/12/24,1:52,2.3,87,0,28633,0.3,3.3
2022/12/24,1:53,2.3,87,0,28011,0.3,3.4
2022/12/24,1:54,2.3,87,0,28183,0.4,3.4
2022/12/24,1:55,2.3,87,0,28282,0.5,3.4
2022/12/24,1:56,2.3,87,0,27619,0.6,3.3
2022/12/24,1:57,2.3,87,0,28251,0.4,3.2
2022/12/24,1:58,2.2,87,0,27457,0.2,3.1
2022/12/24,1:59,2.2,87,0,28385,0.3,3.2
2022/12/24,2:00,2.3,87,0,27590,0.4,3.1
2022/12/24,2:01,2.3,87,0,27731,0.2,3.1
2022/12/24,2:02,2.3,87,0,27787,0.1,3.3
2022/12/24,2:03,2.3,87,0,27621,0.2,3.3
2022/12/24,2:04,2.3,87,0,27405,0.2,3.2
2022/12/24,2:05,2.3,87,0,27412,0.2,3.2
2022/12/24,2:06,2.3,87,0,27610,0.1,3.1
2022/12/24,2:07,2.3,87,0,27961,0.1,3.1
2022/12/24,2:08,2.3,87,0,27931,0,3.2
2022/12/24,2:09,2.4,87,0,28188,0.1,3.2
2022/12/24,2:10,2.3,87,0,28527,0.2,3.3
2022/12/24,2:11,2.4,87,0,28085,0.2,3.3
2022/12/24,2:12,2.4,87,0,28514,0.4,3.4
2022/12/24,2:13,2.4,87,0,28529,0.5,3.2
2022/12/24,2:14,2.3,87,0,28182,0.6,3.1
2022/12/24,2:15,2.3,87,0,29016,0.7,3.1
2022/12/24,2:16,2.3,87,0,28916,0.7,3.1
2022/12/24,2:17,2.3,87,0,29160,0.5,3.1
2022/12/24,2:18,2.3,87,0,28834,0.3,3.2
2022/12/24,2:19,2.3,87,0,28443,0.2,3.5
2022/12/24,2:20,2.4,87,0,28700,0.2,3.5
2022/12/24,2:21,2.4,87,0,28679,0.2,3.3
2022/12/24,2:23,2.4,87,0,28515,0.2,3.2
2022/12/24,2:24,2.4,87,0,28087,0.4,3
2022/12/24,2:25,2.4,87,0,28500,0.5,3
2022/12/24,2:26,2.4,87,0,27873,0.6,2.9
2022/12/24,2:27,2.4,87,0,27654,0.7,2.9
2022/12/24,2:28,2.3,87,0,27505,0.8,3.1
2022/12/24,2:29,2.3,87,0,27115,0.8,3.1
2022/12/24,2:30,2.3,87,0,26630,0.8,3
2022/12/24,2:31,2.3,87,0,25771,0.8,3
2022/12/24,2:32,2.3,88,0,26623,1,2.7
2022/12/24,2:33,2.3,88,0,26437,1.2,2.6
2022/12/24,2:34,2.2,88,0,26311,1.1,2.9
2022/12/24,2:35,2.2,88,0,26076,0.9,2.9
2022/12/24,2:36,2.2,88,0,25742,0.9,2.9
2022/12/24,2:37,2.2,88,0,25231,0.8,3
2022/12/24,2:38,2.2,89,0,25409,0.8,2.9
2022/12/24,2:39,2.1,89,0,25340,0.8,2.9
2022/12/24,2:40,2.1,89,0,25031,1,2.7
2022/12/24,2:41,2.1,89,0,25578,1.2,2.4
2022/12/24,2:42,2.1,89,0,25780,1.1,2.5
2022/12/24,2:43,2.1,89,0,25355,1.1,2.5
2022/12/24,2:44,2,89,0,25761,1.3,2.5
2022/12/24,2:45,2,89,0,26066,1,2.7
2022/12/24,2:46,2,89,0,25826,0.9,2.8
2022/12/24,2:47,2,89,0,25659,1,2.8
2022/12/24,2:48,2,89,0,25686,0.8,2.9
2022/12/24,2:49,2,89,0,25568,0.7,2.9
2022/12/24,2:50,2,90,0,25829,0.9,2.9
2022/12/24,2:51,2,90,0,25226,0.8,2.8
2022/12/24,2:52,2,90,0,25649,0.8,2.9
2022/12/24,2:53,2,90,0,25132,0.9,2.9
2022/12/24,2:54,2,90,0,24788,0.7,3
2022/12/24,2:55,2,90,0,25125,0.5,3
2022/12/24,2:56,2,90,0,24781,0.6,3
2022/12/24,2:57,2,90,0,25774,0.6,3
2022/12/24,2:58,2,90,0,25847,0.3,3.4
2022/12/24,2:59,2,90,0,24804,0.2,3.4
2022/12/24,3:00,2.1,90,0,25131,0.2,3.3
2022/12/24,3:01,2.1,90,0,25248,0.2,3.1
2022/12/24,3:02,2.1,90,0,25493,0.2,3
2022/12/24,3:03,2.1,90,0,25360,0.1,3.1
2022/12/24,3:04,2.2,89,0,25354,0.2,3
2022/12/24,3:05,2.1,89,0,25435,0.2,3
2022/12/24,3:06,2.2,89,0,25332,0.3,3
2022/12/24,3:07,2.2,89,0,24849,0.4,3
2022/12/24,3:08,2.1,89,0,24438,0.8,2.7
2022/12/24,3:09,2.1,89,0,24729,0.9,2.5
2022/12/24,3:10,2.1,89,0,23987,1,2.4
2022/12/24,3:11,2.1,89,0,24168,1.2,2.4
2022/12/24,3:12,2,89,0,23704,1.2,2.4
2022/12/24,3:13,2,89,0,24919,1,2.4
2022/12/24,3:14,2,90,0,24005,1.2,2.5
2022/12/24,3:15,1.9,90,0,23768,1.3,2.5
2022/12/24,3:16,1.9,90,0,23334,1.1,2.5
2022/12/24,3:17,1.9,90,0,23703,1.4,2.6
2022/12/24,3:18,1.9,90,0,24396,1.5,2.6
2022/12/24,3:19,1.9,90,0,24727,1.3,2.5
2022/12/24,3:20,1.9,90,0,24005,1.4,2.5
2022/12/24,3:21,1.8,90,0,23448,1.5,2.5
2022/12/24,3:22,1.8,91,0,23249,1.3,2.7
2022/12/24,3:23,1.8,90,0,22921,1.2,2.7
2022/12/24,3:24,1.8,90,0,22570,1.3,2.7
2022/12/24,3:25,1.8,90,0,22448,1.5,2.7
2022/12/24,3:26,1.8,90,0,22521,1.5,2.6
2022/12/24,3:27,1.8,91,0,21864,1.2,2.5
2022/12/24,3:28,1.8,91,0,22613,1.2,2.6
2022/12/24,3:29,1.8,91,0,21925,1.2,2.8
2022/12/24,3:30,1.8,91,0,21556,1,2.8
2022/12/24,3:31,1.8,91,0,21629,1.1,2.7
2022/12/24,3:32,1.7,91,0,21214,1.1,2.6
2022/12/24,3:33,1.7,91,0,21371,1.1,2.5
2022/12/24,3:34,1.7,91,0,21208,1,2.5
2022/12/24,3:35,1.7,92,0,21457,0.9,2.6
2022/12/24,3:36,1.7,92,0,21404,0.8,2.8
2022/12/24,3:37,1.7,92,0,21742,0.6,2.9
2022/12/24,3:38,1.8,92,0,21516,0.6,3
2022/12/24,3:39,1.7,92,0,20851,0.6,2.9
2022/12/24,3:40,1.8,92,0,21078,0.6,2.8
2022/12/24,3:41,1.7,92,0,20607,0.4,2.8
2022/12/24,3:42,1.8,92,0,21748,0.2,3
2022/12/24,3:43,1.8,92,0,21388,0.3,3
2022/12/24,3:44,1.8,92,0,22237,0.2,3
2022/12/24,3:45,1.8,92,0,21451,0.1,3
2022/12/24,3:46,1.9,92,0,21716,0.4,3
2022/12/24,3:47,1.9,91,0,21839,0.3,3
2022/12/24,3:48,1.9,91,0,22156,0,3
2022/12/24,3:49,1.9,91,0,21966,0.1,3.1
2022/12/24,3:50,1.9,91,0,23035,0.3,3.1
2022/12/24,3:51,1.9,91,0,23355,0.4,3.1
2022/12/24,3:52,1.9,91,0,22815,0.4,2.9
2022/12/24,3:53,1.9,91,0,22770,0.4,2.9
2022/12/24,3:54,1.9,91,0,23216,0.5,2.9
2022/12/24,3:55,1.9,91,0,23065,0.6,2.9
2022/12/24,3:56,1.9,91,0,22632,0.8,2.9
2022/12/24,3:57,1.8,91,0,22592,0.6,2.9
2022/12/24,3:58,1.8,91,0,23354,0.6,3
2022/12/24,3:59,1.8,91,0,24066,0.7,3
2022/12/24,4:00,1.8,91,0,23227,0.5,3
2022/12/24,4:01,1.8,91,0,23780,0.5,3
2022/12/24,4:02,1.8,91,0,23205,0.6,3
2022/12/24,4:03,1.8,91,0,23610,0.6,3
2022/12/24,4:04,1.9,91,0,22639,0.3,3
2022/12/24,4:05,1.9,91,0,22837,0,3
2022/12/24,4:06,1.9,91,0,22329,0.1,3.1
2022/12/24,4:07,1.9,91,0,22584,0.4,3.2
2022/12/24,4:08,1.9,91,0,22339,0.5,3.2
2022/12/24,4:09,1.9,91,0,21924,0.6,3.1
2022/12/24,4:10,1.9,91,0,22075,0.5,3
2022/12/24,4:11,1.9,91,0,22299,0.5,3.2
2022/12/24,4:12,1.9,91,0,22306,0.2,3.3
2022/12/24,4:13,2,91,0,22031,0.2,3.3
2022/12/24,4:14,2,91,0,23216,0.2,3.4
2022/12/24,4:15,2,91,0,22106,0.1,3.4
2022/12/24,4:16,2,91,0,22487,0.1,3.4
2022/12/24,4:17,2.1,91,0,21396,0,3.3
2022/12/24,4:18,2,91,0,21282,0,3.3
2022/12/24,4:19,2.1,91,0,21722,0.1,3.2
2022/12/24,4:20,2.1,91,0,21496,0.1,3.2
2022/12/24,4:21,2.1,91,0,21595,0.1,3.1
2022/12/24,4:22,2.1,91,0,21395,0,3
2022/12/24,4:23,2.1,91,0,21936,0,3
2022/12/24,4:24,2.2,91,0,21989,0,3.1
2022/12/24,4:25,2.2,91,0,20708,0,3.1
2022/12/24,4:26,2.3,90,0,21373,0,3.1
2022/12/24,4:27,2.3,90,0,20409,0.1,3
2022/12/24,4:28,2.3,90,0,20496,0.1,3
2022/12/24,4:29,2.2,90,0,20102,0.3,2.9
2022/12/24,4:30,2.2,90,0,20193,0.1,2.8
2022/12/24,4:31,2.2,90,0,20502,0.1,2.8
2022/12/24,4:32,2.2,90,0,22074,0.1,2.9
2022/12/24,4:33,2.2,90,0,22346,0.1,2.9
2022/12/24,4:34,2.2,90,0,21812,0,2.9
2022/12/24,4:35,2.3,90,0,22757,0,2.8
2022/12/24,4:36,2.3,90,0,22900,0.1,2.8
2022/12/24,4:37,2.3,90,0,23472,0.2,2.9
2022/12/24,4:38,2.3,90,0,22708,0.2,3
2022/12/24,4:39,2.3,90,0,20964,0.2,3
2022/12/24,4:40,2.3,90,0,20686,0.2,2.9
2022/12/24,4:41,2.3,90,0,19194,0.2,2.7
2022/12/24,4:42,2.3,90,0,19731,0.5,2.5
2022/12/24,4:43,2.3,90,0,19918,0.4,2.5
2022/12/24,4:44,2.2,90,0,19571,0.3,2.5
2022/12/24,4:45,2.3,90,0,21156,0.1,2.7
2022/12/24,4:46,2.3,90,0,19848,0.1,2.7
2022/12/24,4:47,2.3,90,0,20086,0.2,2.6
2022/12/24,4:48,2.2,90,0,19812,0.1,2.6
2022/12/24,4:49,2.2,90,0,19674,0.1,2.7
2022/12/24,4:50,2.2,90,0,20589,0.3,2.8
2022/12/24,4:51,2.2,90,0,21529,0.2,2.8
2022/12/24,4:52,2.2,90,0,20979,0.2,2.8
2022/12/24,4:53,2.2,90,0,20774,0.2,2.6
2022/12/24,4:54,2.2,90,0,20882,0,2.7
2022/12/24,4:55,2.2,90,0,20915,0,2.7
2022/12/24,4:56,2.2,90,0,21269,0,2.9
2022/12/24,4:57,2.3,90,0,22085,0.1,2.9
2022/12/24,4:58,2.3,90,0,21783,0.1,3
2022/12/24,4:59,2.3,90,0,21472,0.2,3
2022/12/24,5:00,2.3,90,0,21250,0.1,2.8
2022/12/24,5:01,2.3,90,0,21357,0.3,2.8
2022/12/24,5:02,2.3,90,0,20928,0.5,2.8
2022/12/24,5:03,2.3,90,0,20173,0.5,2.7
2022/12/24,5:04,2.3,90,0,20451,0.5,2.6
2022/12/24,5:05,2.2,90,0,20951,0.4,2.5
2022/12/24,5:06,2.2,90,0,21067,0.4,2.5
2022/12/24,5:07,2.1,90,0,21839,0.4,2.6
2022/12/24,5:08,2.2,90,0,21566,0.3,2.7
2022/12/24,5:09,2.2,90,0,21656,0.3,2.7
2022/12/24,5:10,2.1,90,0,22185,0.3,2.7
2022/12/24,5:11,2.1,90,0,22459,0.3,2.7
2022/12/24,5:12,2.1,90,0,22662,0.4,2.6
2022/12/24,5:13,2.1,90,0,22565,0.3,2.6
2022/12/24,5:14,2.2,90,0,22249,0.1,2.9
2022/12/24,5:15,2.2,90,0,21670,0.1,3.1
2022/12/24,5:16,2.2,90,0,21763,0.4,3.3
2022/12/24,5:17,2.2,90,0,21410,0.5,3.3
2022/12/24,5:18,2.2,90,0,21781,0.3,3.2
2022/12/24,5:19,2.2,90,0,22097,0,3.1
2022/12/24,5:20,2.2,90,0,21969,0,3
2022/12/24,5:21,2.2,91,0,22176,0,2.9
2022/12/24,5:23,2.2,90,0,23055,0.1,2.9
2022/12/24,5:24,2.3,90,0,23028,0.2,2.9
2022/12/24,5:25,2.3,90,0,22600,0.4,3
2022/12/24,5:26,2.3,90,0,22550,0.4,3
2022/12/24,5:27,2.3,90,0,21716,0.2,3.1
2022/12/24,5:28,2.3,90,0,22878,0.3,3.2
2022/12/24,5:29,2.3,90,0,22862,0.4,3.1
2022/12/24,5:30,2.3,90,0,22660,0.2,2.9
2022/12/24,5:31,2.3,90,0,22200,0.1,2.9
2022/12/24,5:32,2.3,90,0,22163,0.1,2.8
2022/12/24,5:33,2.3,90,0,21452,0.2,2.8
2022/12/24,5:34,2.3,89,0,21277,0.3,2.8
2022/12/24,5:35,2.3,89,0,21407,0.5,2.8
2022/12/24,5:36,2.3,90,0,21402,0.5,2.7
2022/12/24,5:37,2.2,90,0,21269,0.4,2.7
2022/12/24,5:38,2.2,90,0,21042,0.3,2.7
2022/12/24,5:39,2.2,90,0,21214,0.4,2.7
2022/12/24,5:40,2.2,90,0,21413,0.6,2.7
2022/12/24,5:41,2.2,90,0,21114,0.6,2.7
2022/12/24,5:42,2.2,90,0,21315,0.5,2.7
2022/12/24,5:43,2.2,90,0,21752,0.5,2.7
2022/12/24,5:44,2.2,90,0,21859,0.4,2.8
2022/12/24,5:45,2.2,90,0,22240,0.4,2.8
2022/12/24,5:46,2.2,90,0,22056,0.4,2.8
2022/12/24,5:47,2.2,90,0,22815,0.4,2.8
2022/12/24,5:48,2.2,90,0,22753,0.4,2.8
2022/12/24,5:49,2.2,90,0,23066,0.4,2.8
2022/12/24,5:50,2.2,90,0,22849,0.4,2.7
2022/12/24,5:51,2.2,90,0,22988,0.3,2.7
2022/12/24,5:52,2.2,90,0,23554,0.3,2.7
2022/12/24,5:53,2.2,90,0,23542,0.3,2.7
2022/12/24,5:54,2.2,90,0,23647,0.3,2.8
2022/12/24,5:55,2.2,90,0,24198,0.3,2.8
2022/12/24,5:56,2.3,90,0,23400,0.3,2.8
2022/12/24,5:57,2.2,90,0,23186,0.4,2.8
2022/12/24,5:58,2.2,89,0,23112,0.4,2.8
2022/12/24,5:59,2.2,90,0,22773,0.4,2.9
2022/12/24,6:00,2.2,90,0,23333,0.4,2.9
2022/12/24,6:01,2.2,90,0,23147,0.5,2.9
2022/12/24,6:02,2.2,90,0,23244,0.6,2.9
2022/12/24,6:03,2.1,90,0,23531,0.7,2.8
2022/12/24,6:04,2.1,90,0,23263,0.7,2.8
2022/12/24,6:05,2.1,90,0,23742,0.6,2.8
2022/12/24,6:06,2.1,90,0,23177,0.5,2.8
2022/12/24,6:07,2.1,90,0,23433,0.5,2.8
2022/12/24,6:08,2.1,90,0,24253,0.5,2.8
2022/12/24,6:09,2.1,90,0,24843,0.6,2.8
2022/12/24,6:10,2.1,90,0,24861,0.6,2.7
2022/12/24,6:11,2.1,90,0,24388,0.7,2.7
2022/12/24,6:12,2.1,90,0,24521,0.8,2.8
2022/12/24,6:13,2,90,0,23929,0.8,2.8
2022/12/24,6:14,2.1,90,0,24787,0.5,3.1
2022/12/24,6:15,2.1,90,0,23697,0.4,3.1
2022/12/24,6:16,2.1,91,0,24347,0.3,3.3
2022/12/24,6:17,2.2,91,0,23774,0.2,3.5
2022/12/24,6:18,2.2,91,0,24067,0.4,3.5
2022/12/24,6:19,2.2,91,0,24554,0.4,3.4
2022/12/24,6:20,2.2,91,0,24722,0.2,3.3
2022/12/24,6:21,2.3,91,0,24292,0.3,3.2
2022/12/24,6:22,2.3,90,0,24728,0.4,3.1
2022/12/24,6:23,2.3,90,0,24574,0.4,3
2022/12/24,6:24,2.3,90,0,24393,0.6,3.1
2022/12/24,6:25,2.3,90,0,24244,0.9,3.3
2022/12/24,6:26,2.3,90,0,24814,0.8,3.4
2022/12/24,6:27,2.3,90,0,24505,0.5,3.4
2022/12/24,6:28,2.3,90,0,24500,0.3,3.3
2022/12/24,6:29,2.3,90,0,24864,0.2,3.2
2022/12/24,6:30,2.4,90,0,24537,0.1,3.2
2022/12/24,6:31,2.4,90,0,24144,0,3.4
2022/12/24,6:32,2.5,90,0,24592,0.1,3.6
2022/12/24,6:33,2.5,90,0,24041,0.1,3.5
2022/12/24,6:34,2.5,89,0,24406,0,3.3
2022/12/24,6:35,2.4,89,0,25074,0.3,3.3
2022/12/24,6:36,2.4,89,0,25070,0.3,3.3
2022/12/24,6:37,2.5,89,0,24324,0,3.3
2022/12/24,6:38,2.5,89,0,24189,0,3.3
2022/12/24,6:39,2.5,89,0,24777,0.1,3.3
2022/12/24,6:40,2.5,89,0,24866,0.1,3.3
2022/12/24,6:41,2.5,89,0,24498,0.1,3.2
2022/12/24,6:42,2.5,89,0,24814,0.2,3
2022/12/24,6:43,2.5,89,0,25372,0.2,3
2022/12/24,6:44,2.5,88,0,25543,0.3,3
2022/12/24,6:45,2.4,88,0,25390,0.4,3
2022/12/24,6:46,2.4,89,0,25327,0.2,3
2022/12/24,6:47,2.4,89,0,26297,0,3.1
2022/12/24,6:48,2.4,89,0,26343,0.1,3.1
2022/12/24,6:49,2.4,88,0,26124,0.1,3.1
2022/12/24,6:50,2.5,89,0,26379,0,3.1
2022/12/24,6:51,2.5,88,0,26783,0,3.2
2022/12/24,6:52,2.5,88,0,27190,0.2,3.2
2022/12/24,6:53,2.5,88,0,27332,0.4,3.5
2022/12/24,6:54,2.6,88,0,27405,0.2,3.5
2022/12/24,6:55,2.6,88,0,27030,0.1,3.5
2022/12/24,6:56,2.6,88,0,27277,0.1,3.4
2022/12/24,6:57,2.6,88,0,27196,0.1,3.4
2022/12/24,6:58,2.6,88,0,27564,0.2,3.4
2022/12/24,6:59,2.6,88,0,27671,0.1,3.5
2022/12/24,7:00,2.7,88,0,27087,0.1,3.7
2022/12/24,7:01,2.7,88,0,26410,0,3.7
2022/12/24,7:02,2.7,88,0,25394,0,3.5
2022/12/24,7:03,2.8,88,0,25916,0,3.5
2022/12/24,7:04,2.8,88,0,26172,0,3.5
2022/12/24,7:05,2.7,88,0,26645,0.1,3.5
2022/12/24,7:06,2.7,88,0,25955,0.2,3.4
2022/12/24,7:07,2.7,88,0,27037,0.1,3.3
2022/12/24,7:08,2.7,88,0,27068,0,3.2
2022/12/24,7:09,2.7,88,0,27329,0.1,3.2
2022/12/24,7:10,2.8,88,0,26608,0.1,3.3
2022/12/24,7:11,2.8,88,0,26638,0,3.4
2022/12/24,7:12,2.8,88,0,26073,0.1,3.5
2022/12/24,7:13,2.8,88,0,24250,0.3,3.5
2022/12/24,7:14,2.8,88,0,25436,0.4,3.7
2022/12/24,7:15,2.8,88,0,25059,0.4,3.4
2022/12/24,7:16,2.8,88,0,24242,0.3,3
2022/12/24,7:17,2.7,88,0,24763,0.4,2.9
2022/12/24,7:18,2.7,88,0,25761,0.4,2.7
2022/12/24,7:19,2.7,88,0,25772,0.3,2.7
2022/12/24,7:20,2.7,88,0,25791,0.2,2.7
2022/12/24,7:21,2.7,88,0,25731,0.3,2.7
2022/12/24,7:22,2.7,88,0,25825,0.3,2.9
2022/12/24,7:23,2.7,88,0,26579,0.3,3.1
2022/12/24,7:24,2.7,88,0,26463,0.4,3.2
2022/12/24,7:25,2.7,88,0,26148,0.2,3.2
2022/12/24,7:26,2.7,88,0,26492,0,3.2
2022/12/24,7:27,2.7,88,0,26086,0.1,3.2
2022/12/24,7:28,2.8,88,0,26284,0.4,3.2
2022/12/24,7:29,2.7,88,0,26102,0.8,3.2
2022/12/24,7:30,2.7,88,0,26329,0.7,3.4
2022/12/24,7:31,2.7,88,0,26632,0.2,3.2
2022/12/24,7:32,2.7,88,0,26554,0.2,3.1
2022/12/24,7:33,2.7,88,0,26737,0.3,3.1
2022/12/24,7:34,2.7,88,0,26628,0.3,3.2
2022/12/24,7:35,2.7,88,0,26251,0.4,3.2
2022/12/24,7:36,2.7,88,0,26255,0.6,3.3
2022/12/24,7:37,2.7,88,0,25518,0.3,3.2
2022/12/24,7:38,2.7,88,0,25724,0,3.3
2022/12/24,7:39,2.7,88,0,25624,0,3.4
2022/12/24,7:40,2.8,88,0,25470,0.3,3.5
2022/12/24,7:41,2.8,88,0,25911,0.9,3.8
2022/12/24,7:42,2.8,88,0,26355,0.7,3.7
2022/12/24,7:43,2.8,89,0,25189,0.2,3.6
2022/12/24,7:44,2.8,89,0,24925,0.1,3.4
2022/12/24,7:45,2.7,88,0,25437,0.3,3.3
2022/12/24,7:46,2.8,89,0,25126,0.5,3.2
2022/12/24,7:47,2.7,88,0,24990,0.4,3.2
2022/12/24,7:48,2.7,88,0,25628,0.3,3
2022/12/24,7:49,2.7,88,0,25074,0.3,2.9
2022/12/24,7:50,2.7,88,0,24905,0.3,2.7
2022/12/24,7:51,2.7,88,0,25464,0.2,2.7
2022/12/24,7:52,2.7,88,0,25956,0.1,2.7
2022/12/24,7:53,2.7,88,0,25232,0.2,2.7
2022/12/24,7:54,2.7,88,0,25531,0.7,3.2
